Tag 1,Tag 2,Tag 3,Rule 1,Rule 2,Rule 3,Rule 4,Rule 5,Your Comments
1. Organizational Management,1.1. General Requirements,1.1.11,The organization complies with all applicable laws and regulations.,"1) Upon request by the CB, as deemed necessary for audit evaluation, the organization must be able to present information that demonstrates compliance with applicable laws and regulations, relevant to the activities included in the scope certificate.

2) The CB auditor does not necessarily need to focus on a given list of laws and regulations to check for compliance, but to conduct a systematic review of how the organization is addressing the relevant requirements (i.e., while the verification for compliance of all the applicable criteria happens, if the auditor finds any noncompliance with laws and regulations, then there will be the need to raise a corrective action). 

3) Any current noncompliance by the organization with the applicable laws and regulations shall be addressed with the relevant agency. The essential element is that the organization shows awareness and willingness to rectify the situation, adopting measures to avoid the same thing from happening again in the future.",Conformance-Related,Critical,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
1. Organizational Management,1.1. General Requirements,1.1.12,"The organization has completed the Farm or Facility Questionnaire, including Geographic Information System (GIS) data input, developed by Textile Exchange, which requests self-reported data and information that is used for monitoring and evaluation of impacts and contributes to learning about the unified standard.","1) The Questionnaire completed depends on the type of site being evaluated. The applicable questionnaire shall be provided by the CB to the organization, with additional instructions for completing the information.","Conformance-Related, MEL Indicator",Minor,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
1. Organizational Management,1.2. Shared Responsibilities,1.2.1,"For each procedure, plan, and policy, the organization has assigned competent employees as responsible for its implementation.","1) The CB shall verify that each procedure has a responsible person with sufficient and appropriate resources assigned to it, even for contracted services.",Conformance-Related,Major,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
1. Organizational Management,1.2. Shared Responsibilities,1.2.2,"Each procedure, plan and policy is reviewed at least annually by the person in charge and updated, as necessary.","1) The objective is for the organization to have its procedures updated, according to the current activities happening. Hence, the request for the person in charge to read/review the documents at least annually, and if anything needs to get changed/updated, to proceed accordingly.

2) A means of verification for the CB will be to check if the documents contain updated information, based on real/current conditions verified on site.",Conformance-Related,Minor,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
1. Organizational Management,1.2. Shared Responsibilities,1.2.3,Workers have access to the unified standard and are aware of the requirements relevant to their assigned responsibilities.,1) Interviewed workers shall show general knowledge about the relevant unified standard requirements and be able to describe what to do in hypothetical situations when undertaking their specific duties.,Conformance-Related,Minor,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
1. Organizational Management,1.2. Shared Responsibilities,1.2.4,Relevant procedures are available in written and/or visual form to workers in a language they understand.,"1) Relevant procedures (e.g., handbooks, pictograms, or posters), must be made available to workers, according to their local context and academic capacities. As applicable, according to species, procedures may include euthanasia, shearing, castration, tail docking, transportation, among others. The organization shall develop its tools according to the type of organization and its specific needs for offering training to its workers.",Conformance-Related,Minor,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
1. Organizational Management,1.2. Shared Responsibilities,1.2.5,"Workers receive adequate training and supervision to ensure proper implementation of the unified standard, including the organization's management plan, procedures, and policies.","1) The CB shall verify conformance through observation of workers' performance on site, the review of training records (e.g., list of attendees, material used for trainings, pictures, etc.), and by interviewing workers to verify their level of knowledge on key issues.

2) The frequency of training should be as needed, depending on specific cases (e.g., new hired workers; new issues in need to get socialized, etc.). Trainings for everyone to refresh procedures and policies shall happen at least in an annual basis.",Conformance-Related,Major,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
1. Organizational Management,1.2. Shared Responsibilities,1.2.6,Training records are maintained.,"1) Important to verify dates of records; the name and qualifications of the people in charge of providing training sessions; title of the trainings; and names of attendees to the training sessions.

2) Keep in mind the criterion regarding time for records' retention time.",Conformance-Related,Minor,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
2. Human Rights and Livelihoods,"2.1. Policies, Management Systems and Records",2.1.1,"The organization has a written commitment to respect human rights, as recognized in international agreements and guidelines, including to:
a) Avoid causing or contributing to adverse impacts to human rights; and
b) Prevent or mitigate such impacts linked to its operations.","1) ANNEX 2 provides a general overview for this section. Please review Annex 2 before going through the criteria for a comprehensive understanding about this section.

2) The mandatory level of conformity for some requirements throughout this section are different, depending on the size of the organization. The definitions for Small, Medium, and Large Producers and Facilities can be found in ANNEX 3. 

3) This requirement is about having a publicly available commitment.

4) Small Producer: a commitment is in place, though may not yet be publicly available.

5) Medium and Large Producer: a written commitment is in place and publicly available.

6) Facility (any size): a written commitment is in place and publicly available.

7) Available Guidance will include the list of all applicable international agreements and guidelines that apply - either list full publications or individual declarations.",Conformance-Related,Major,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
2. Human Rights and Livelihoods,"2.1. Policies, Management Systems and Records",2.1.2,"The organization has clear, written policies and codes of conduct to meet its commitment to respect internationally recognized human rights, which outline the objectives, strategies, actions and intended outcomes related to each of the following topics, including relevant content from the corresponding section of the unified standard: 
a) Stakeholder Engagement;
b) Grievance Mechanism;
c) Remuneration;
d) Working Hours;
e) Child Labor;
f) Forced Labor;
g) Freedom of Association and Collective Bargaining;
h) Discrimination;
i) Harassment and Abuse;
j) Health and Safety;
k) Workers' Housing; and
l) Indigenous Peoples and Local Communities' Rights.

NOTE: The policies and codes of conduct are reviewed regularly and updated as needed. The periodicity of review is clearly stated within the policies. All policies will be easily accessible to all employees and relevant stakeholders.","1) This requirement is about having policies explaining how the organization is going to meet its commitments.

2) Small Producer: this criterion is not applicable.

3) Medium Producer: policies are in place, though implementation may have not begun.

4) Large Producer: all policies are in place and being fully implemented.

5) Small Facility: this criterion is a recommendation.

6) Medium and Large Facility: criterion fully applies.",Conformance-Related,Minor,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
2. Human Rights and Livelihoods,"2.1. Policies, Management Systems and Records",2.1.3,"The organization has identified, assessed and documented the human rights' risks associated with its operations, maintains a list of indicators of those risks, and conducts regular assessments of risk as conditions evolve. The risk assessment considers the likelihood, severity and nature of any potential risks of infringement to rights associated with its operations, outlined in the following sections of the unified standard:
a) Remuneration;
b) Working Hours;
c) Child Labor;
d) Forced Labor;
e) Freedom of Association and Collective Bargaining;
f) Discrimination;
g) Harassment and Abuse;
h) Health and Safety;
i) Workers' Housing; and
j) Indigenous Peoples and Local Communities' Rights.","1) This requirement is about developing a risk assessment of its operations.

2) Small Producer: this criterion is not applicable.

3) Medium Producer: the assessment is in place; some sections may be incomplete.

4) Large Producer: the assessment is fully in place across each section.

5) For a Producer who is part of a group, these policies can be at the group level.

6) Small Facility: this criterion is a recommendation.

7) Medium and Large Facility: criterion fully applies.",Conformance-Related,Major,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
2. Human Rights and Livelihoods,"2.1. Policies, Management Systems and Records",2.1.4,"The organization maps and maintains an updated record of the following:
a) Its material input suppliers (i.e., suppliers of inputs used by the organization to produce the relevant material), including:
i) The name of the supplier;
ii) The type of supplier;
iii) The type of contract with the supplier;
iv) The materials received from each supplier;
v) The volumes received from each supplier; and
vi) The supplier's address/location.
b) Its service providers/contractors that are involved in the production of the relevant material, including:
i) The name of the contractor;
ii) The type of contractor;
iii) The type of contract;
iv) The service(s) provided by each contractor; and
v) The contractor's address/location.","1) This requirement is about mapping the supply chain.

2) Small Producer: this criterion is not applicable.

3) Medium Producer: the supply chain mapping is in place, though the details may not be fully completed.

4) Large Producer: the supply chain mapping is in place, it is complete and regularly updated.

5) Small Facility: this criterion is a recommendation.

6) Medium and Large Facility: this criterion fully applies.",Conformance-Related,Minor,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
2. Human Rights and Livelihoods,"2.1. Policies, Management Systems and Records",2.1.5,"The organization engages with its stakeholders through the following:
a) Having a publicly available commitment to actively engage with rightsholders and other stakeholders to meet their right to meaningful and effective participation in decisions which may affect them;
b) Maintaining a record of the stakeholders who may be impacted by the organization's activities (i.e., a stakeholders' map) and addressing them in the organization's risk analysis. Rightsholder/stakeholder mapping should consider the following at a minimum:
i) Workers;
ii) Local communities;
iii) Indigenous Peoples;
iv) Local businesses; and 
v) Organizations that support or advocate for rightsholders (e.g., civil society organizations, independent unions, etc.); and
c) Based on the results of its stakeholder mapping and risk analysis, the organization develops a Stakeholder Engagement Plan, and is actively engaging rightsholders and other stakeholders in accordance with that plan. The engagement plan states the expected periodicity of engagement with each rightsholder/stakeholder (for example, once per year or once every month), and a schedule for the implementation of specific consultation activities over a twelve (12) month period. The plan includes a written procedure for recording feedback received and actions taken.","1) This requirement is about rightsholders' and stakeholders' engagement.

2) Small Producer: this criterion is not applicable.

3) Medium and Large Producer: the Stakeholder Engagement Plan is in place, active stakeholder engagement is taking place, and the plan is regularly updated.

4) For a Producer who is part of a group, these requirements can be met at the group level.

5) Small Facility: This criterion is a recommendation.

6) Medium and Large Facility: Criterion fully applies.

7) The means of verification for compliance are the existence of a publicly available commitment; the record of stakeholders (i.e., stakeholders' map); and the Stakeholder Engagement Plan.",Conformance-Related,Minor,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
2. Human Rights and Livelihoods,"2.1. Policies, Management Systems and Records",2.1.6,"The organization develops and implements a grievance mechanism through the following:
a) Development of a grievance mechanism that is accessible to all workers and stakeholders, and which aligns with the UN Guiding Principles' Effectiveness Criteria for Non-Judicial Grievance Mechanisms;
b) The organization's grievance mechanism includes procedures for receiving and addressing complaints from workers and other stakeholders, as well as internal and external remediation guidelines;
c) The procedures and guidelines are shared with workers upon hiring, and with all stakeholders when those procedures and guidelines are developed and if/when changes are made; and
d) The organization maintains a record of grievances, remediation actions and dates, which  protects the identity of the aggrieved.","1) This requirement is about the existence and implementation of a grievance mechanism.

2) Small Producer: this criterion is not applicable.

3) Medium and Large Producer/Facility: this criterion applies.

4) For a Producer who is part of a group, the grievance mechanism could be at the group level.

5) Small Facility: this criterion is a recommendation.",Conformance-Related,Major,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
2. Human Rights and Livelihoods,"2.1. Policies, Management Systems and Records",2.1.7,"The organization has developed and is implementing a Recruitment Management System through the following:
a) The Recruitment Management System is for all workers, including those recruited via an agency or broker, which includes verification of the age of workers;
b) The Recruitment Management System ensures no fees are collected from workers as a condition for their recruitment, either by the organization or by an agency/broker used by the organization for recruitment;
c) The organization ensures that workers hired for year-round tasks are hired directly, rather than subcontracted or secured through a third-party hiring agency (some exceptions may apply if workers are hired through an established national employment program, such as a work visa program);
d) All wages and benefits are paid directly by the employer to the workers themselves;
e) If labor contractors are used for tasks that cannot be considered year-round, the contractors are provided and expected to follow the same labor rights criteria as the organization; and
f) The organization has documentation on how the contractor recruits and pays the workers.","1) This requirement is about the existence and implementation of a Recruitment Management System.

2) Small Producer: this criterion is a recommendation.

3) Medium and Large Producer: this criterion applies.

4) Facility (any size): this criterion applies.",Conformance-Related,Major,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
2. Human Rights and Livelihoods,"2.1. Policies, Management Systems and Records",2.1.8,"The organization keeps and manages written employment records for all its workers, including the following:
a) The records are accessible to the workers at their request and are provided in a format and language that they can easily understand;
b) Each worker's record includes written contracts and supporting documentation for hiring;
c) Employment contracts/agreements include at least:
i) The age of the worker;
ii) Job description;
iii) Working hours and pay rate; and
iv) Are signed by both the worker and employer (i.e., the organization or contractor), prior to employment;
d) The organization maintains additional records for young workers under the age of eighteen (18) years, detailing any potential risks or hazards associated with their work, and how these are being monitored to protect them;
e) Contractors keep similar records as above, which are made accessible to the organization and auditors upon request; and
f) The organization keeps a record of all policies and procedures which have been passed on to contractors.","1) This requirement is about the existence of employment records.

2) Small Producer: this criterion is a recommendation.

3) Medium Producer: the organization has an employment record system in place, including written contracts and documentation, but there may be gaps in the records.

4) Large Producer: the organization has a full  employment record system in place.

5) Facility (any size): this criterion applies.","Conformance-Related, MEL Indicator",Major,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
2. Human Rights and Livelihoods,"2.1. Policies, Management Systems and Records",2.1.9,"The organization has a Remuneration Management System in place, which tracks the following for each worker:
a) Daily start and end times;
b) Total payment amount for regular working hours (or 48 hours per week, whichever is lower);
c) Total overtime payment for work performed over regular working hours;
d) Pay rates for different units of pay (e.g., per unit of time, task or piece), quota amounts, overtime rates, disincentive pay, efficiency pay, etc.;
e) Payment structures (including mixed job scenarios, piece work, quota-based, casual/as-needed work, etc.);
f) Number of days of paid leave and unpaid leave earned and used (including for holiday, vacation, sick time, maternity leave, etc.); and
g) Work status (e.g., formal, informal/casual/without social security, temporary visa, contractor labor, etc.).","1) This requirement is about the existence and implementation of a Remuneration Management System.

2) Small Producer: this criterion is a recommendation.

3) Medium and Large Producer: this criterion applies.

4) Facility (any size): this criterion applies.","Conformance-Related, MEL Indicator",Major,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
2. Human Rights and Livelihoods,"2.1. Policies, Management Systems and Records",2.1.10,"The organization has a written procedure for, and implements clear explanation of the organization's Remuneration Management System to all of its workers in a manner that ensures:
a) Workers understand how their remuneration is determined, including the unit basis of pay, the guaranteed cash earnings that they should expect, performance-based earnings, other bonuses and benefits;
b) When to expect their remuneration and how to read their pay slips; and
c) Workers understand that they have a right to review their information and know the process for them to inquire if they have questions, would like to review their information, and/or believe that their payment is incorrect.","1) This requirement is about communicating the remuneration system to workers.

2) Small Producer: this criterion is a recommendation.

3) Medium and Large Producer: this criterion applies.

4) Facility (any size): this criterion applies.",Conformance-Related,Minor,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
2. Human Rights and Livelihoods,"2.1. Policies, Management Systems and Records",2.1.11,"The organization works toward meeting the living wage through the following:
a) Identifying a recognized local Living Wage Benchmark and tracking the wages of its lowest paid workers against the living wage value, according to the guidance provided; and
b) The organization has a written plan describing how it can meet the living wage, including what might be needed from other stakeholders.","1) This requirement is about identifying a local living wage benchmark and setting a plan to meet that living wage.

2) Small Producer: this criterion is not applicable.

3) Medium and Large Producer: this criterion applies as a recommendation.

4) Facility (any size): this criterion applies as a recommendation.",Leadership,Recommendation,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
2. Human Rights and Livelihoods,2.2. Labor Rights,2.2.1,"The organization protects the health and safety of its workforce through the following:
a) The organization identifies, and controls hazards in the workplace, using its risk assessment as a basis to implement preventative health and safety measures, training, and procedures. These measures are at least in line with legal requirements and relevant international conventions, whichever affords the workers' greater protection;
b) First aid equipment is available that is appropriate to the potential risks on the organizations' site;
c) At least one member of the crew at each site has completed a first aid training within the last five (5) years; and
d) The organization provides unrestricted access to clean, safe sanitation facilities (at least toilets and wash basins), and  to clean, safe drinking water to all of its workers while on-site at the organization's operations.","1) This requirement is about compliance with organizational health and safety measures.

2) Small Producer: the criterion is applicable but may be an informal approach.

3) Medium and Large Producer: the criterion fully applies.

4) Facility (any size): this criterion fully applies.",Conformance-Related,Major,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
2. Human Rights and Livelihoods,2.2. Labor Rights,2.2.2,"The organization does not discriminate against any person for any reason, and takes actions to prevent discrimination of any kind in the workplace, through:
a) Developing and implementing employment procedures which identify and prevent discrimination, including through recruitment, compensation, benefits, work assignments, access to training, advancement, discipline, termination or retirement;
b) Developing and implementing a remediation plan for any identified cases of discrimination, which protects and prioritizes the welfare of the victim; and
c) Maintaining a record of identified issues, the remediation process and outcomes.","1) This requirement is about not allowing discrimination practices in the workplace.

2) Small Producer/Facility: this criterion applies, but may be an informal approach.

3) Medium and Large Producer/Facility: this criterion fully applies.",Conformance-Related,Major,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
2. Human Rights and Livelihoods,2.2. Labor Rights,2.2.3,"The organization protects its workers from harassment and abuse through:
a) Developing and implementing procedures to identify and prevent forms of, and/or the threat of, verbal, physical, sexual or other harassment and abuse;
b) Developing and implementing a remediation plan for any identified cases of forms and/or threats of verbal, physical, sexual or other harassment and abuse, which protects and prioritizes the welfare of the victim; and
c) Maintaining a record of identified issues, the remediation process and outcomes.","1) This requirement is about not allowing harassment and abuse in the workplace.

2) Small Producer/Facility: this criterion applies, but may be an informal approach.

3) Medium and Large Producer/Facility: this criterion fully applies.

4) Level of Conformity shall increase to Critical if the forms of harassment and abuse are identified without the activation of remediation procedures.",Conformance-Related,Major,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
2. Human Rights and Livelihoods,2.2. Labor Rights,2.2.4,"The organization allows its workers to become members of any workers' association of their choice, through the following:
a) The organization proactively engages with independent worker representative organizations that are present locally, and which currently or could potentially support workers, as national law permits;
b) Workers are not subjected to discrimination or retaliation measures for exercising their right to freedom of association;
c) The organization has and implements a remediation plan for any identified cases of restriction of freedom of association or collective bargaining; and
d) Where national law restricts workers' organizations from operating, the organization supports the establishment of alternative means of workers' organization, such as employee representative committees.","1) This requirement is about the organization allowing freedom of association to its workers.

2) Small Producer: this criterion is not applicable.

3) Medium and Large Producer/Facility: this criterion applies.

4) For a Producer who is part of a group, the grievance mechanism could be at the group level.

5) Small Facility: this criterion is applicable, but may be an informal approach.

6) Level of Conformity shall increase to Critical if workers are subjected to discrimination or retaliation measures.",Conformance-Related,Major,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
2. Human Rights and Livelihoods,2.2. Labor Rights,2.2.5,"The organization manages working hours through the following:
a) Development and implementation of a procedure to record the actual working hours for workers during each day of work, including recording the start time at the moment that they enter the site and recording the end time at the moment that they leave the site;
b) The organization communicates working hours to workers and their representatives in a transparent manner;
c) Development and implementation of employment procedures and processes to keep regular working hours to within legally established regular working hours, collective bargaining agreement (CBA) negotiated working hours, or forty-eight (48) hours a week, whichever is lower;
d) The organization does not require overtime work and ensures that voluntary overtime hours (hours beyond the regular working hours), comply with the legally required limits, CBA negotiated limits, or do not exceed twelve (12) hours in the week, whichever provides more protection to the workers; and
e) The organization ensures that workers receive at least one day of rest in seven.","1) This requirement is about working hours.

2) Criterion applies to any size of Producer and Facility with workers.

3) Small Producer or Facility: may have an informal record system.","Conformance-Related, MEL Indicator",Major,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
2. Human Rights and Livelihoods,2.2. Labor Rights,2.2.6,"The organization implements its Remuneration Management System through the following:
a) The organization pays at least a minimum wage to all workers for work performed during the defined regular working hours (as defined in the criterion above), in accordance with:
i) The applicable legal minimum wage;
ii) The Collective Bargaining Agreement (CBA) negotiated wage; or 
iii) The industry standard wage, 
whichever is higher;
b) The organization pays a premium for any voluntary overtime according to:
i) What is legally required;
ii) What has been negotiated through a CBA;
iii) The industry standard; or
iv) A 125% of regular wage, 
whichever is higher;
c) Payments for all working hours are made according to legal requirements, or at least twice a month, whichever is greater;
d) Workers are paid on time and in a form which is acceptable to them;
e) Workers are paid annual leave (holiday and vacation), medical leave, and maternity leave; and
f) If labor contractors are used, the contractors have and implement similar procedures, and the organization has documentation on how the contractor hires and pays the workers.","1) This requirement is about the remuneration to workers.

2) This criterion applies to any size of Producer and Facility with workers.

3) Small Producer or Facility: may have an informal record system.

4) Verifiers: this is reflected in the workers' contracts, organizational policies, and the Remuneration Management System.","Conformance-Related, MEL Indicator",Major,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
2. Human Rights and Livelihoods,2.2. Labor Rights,2.2.7,The organization implements its living wage plan and is increasing wages to equal a recognized living wage benchmark.,"1) This requirement is about the implementation of the plan to meet the living wage.

2) Small Producer/Facility: this criterion is not applicable.

3) Medium and Large Producer/Facility: this criterion applies as a recommendation.",Leadership,Recommendation,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
2. Human Rights and Livelihoods,2.2. Labor Rights,2.2.8,"If the organization offers loans to its workers, the following happens:
a) The loan system is within legal limits;
b) Terms and conditions are documented; and
c) Any interest rate charged to workers is at a level which does not put undue burden on them for repayment and/or bind them to the job.","1) This requirement is about loans and debt, if applicable to the organization.

2) This criterion applies to any size of Producer with workers.",Conformance-Related,Minor,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
2. Human Rights and Livelihoods,2.2. Labor Rights,2.2.9,"The organization prevents and/or remediates child labor in its operations through the following:
a) Where young people under eighteen (18) years of age work, or are present in the workplace, the organization has and implements a plan that ensures that they are not exposed to hazards, and that the work they perform does not interfere with their schooling;
b) The organization has and implements a remediation plan for:
i) Any identified cases of child labor;
ii) The exposure of young people to hazards; or
iii) The interference with education which the organization has directly or indirectly contributed to.
The remediation plan considers the best interest of the young person. Remediation shall be informed by expert organizations that specialize in child labor remediation or a Child Labor Monitoring System, where possible; and
c) The organization maintains a record of all incidences, remediation actions, and outcomes related to child labor or exposure of young people to hazardous work.","1) This requirement is about prevention of child labor.

2) Producer (any size): this criterion applies.

3) Facility (any size): this criterion applies.

4) Level of Conformity shall increase to Critical if the worst forms of child labor are identified (ILO Convention No. 182), or other forms of child labor without the activation of the remediation plan.",Conformance-Related,Major,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
2. Human Rights and Livelihoods,2.2. Labor Rights,2.2.10,"The organization does not engage in any form of forced labor through the following:
a) Development and implementation of a remediation plan for any risk indicators of forced or bonded labor identified in the unified standard's risk assessment requirements, which protects and prioritizes the welfare of the worker;
b) The organization maintains a record of any identified issues (including discrimination, harassment/abuse, and forced or bonded labor), as well as the remediation process/outcomes;
c) The organization does not withhold workers' belongings or documents such as passports, visas or other personal documents of workers. In cases where personal documents are kept as a service to workers for security purposes, it is based on a voluntary decision by the workers and secure storage facilities are provided which enable them to access their own belongings directly and without restriction; and
d) Wages are not withheld as a penalty or to force workers to work as a payment against debt to the organization.","1) This requirement is about prevention of forced labor.

2) Small and Medium Producer: this criterion applies. More time may be required for remediation.

3) Large Producer: this criterion applies.

4) Small Facility: this criterion applies. More time may be required for remediation.

5) Medium and Large Facility: this criterion applies.

6) Level of Conformity shall increase to Critical if forced labor is identified without the activation of the remediation plan.",Conformance-Related,Major,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
