Tag1,Score,Best Segment,2nd Best Segment
1. Organizational Management 1.1. General Requirements 1.1.11,0.18243678047766387,"the requirement for the management of the risk of facial eczema only applies where the risk is applicable was added. • Water management - No additional amendments in Draft 2. • Biodiversity management - From the review of the first draft of the standard, it became evident that more clarity is needed on how and when the criterion permitting the use of a baiting program applies. It is for this reason that this criterion has been expanded to include sub-criteria (rather than the originally proposed list), each with its own performance determinations, to reiterate that this intervention only applies to","exploring where it is relevant and meaningful to incorporate Climate+ and other key impact areas, addressing how the material is managed on the ground as well as the first stage of production. This shift in scope represents our standard for raw material certification. Certified materials will be tracked through the supply chain with our pre-existing chain of custody standard: the Content Claim Standard (CCS). While the CCS continues to provide the mechanism for tracking and handling of the certified inputs through to the finished product, the unified standard impact criteria are being developed for Tiers 4 and 3.5 of the"
1. Organizational Management 1.1. General Requirements 1.1.12,0.43811652950113894,"which is currently being updated from RAF to include other raw materials in the standard scope. The Farm Questionnaire is also being re-assessed for the questions/data requested in terms of relevance and detail to the Climate+ direction in the new standard system. For Draft 2, a criterion is included requiring that the Farm Questionnaire be completed by the organization as part of the audit process. Standard criteria that relate to verification of information collected in the farm questionnaire are tagged as “MEL Indicator.” Additional criteria that include a measurement component and can be UNIFIED STANDARD SYSTEM DRAFT 2 11 used","that the Farm Questionnaire be completed by the organization as part of the audit process. Standard criteria that relate to verification of information collected in the farm questionnaire are tagged as “MEL Indicator.” Additional criteria that include a measurement component and can be UNIFIED STANDARD SYSTEM DRAFT 2 11 used to monitor the effectiveness of the standard over time are also tagged as MEL indicators. In both cases, this does not mean new criteria have been added, but rather that “MEL Indicator” provides visibility on information as part of the standard that may be used in monitoring and evaluation. Broader"
1. Organizational Management 1.2. Shared Responsibilities 1.2.1,0.18020334739783264,"SYSTEM DRAFT 2 5 Updates from Draft 1 The following is an overall summary of what has changed for animal materials from the Responsible Down Standard (RDS) and the Responsible Animal Fibers (RAF) standards – comprising the Responsible Wool Standard (RWS), Responsible Mohair Standard (RMS), and Responsible Alpaca Standard (RAS) – to Draft 1 of the unified standard and the new Draft 2. Yak The criteria for yak that were introduced in Draft 1 have been removed from the scope of Draft 2. Work had been carried out researching relevant welfare and land use topics for yak, and there were","The following information provides details on content that is new since the first draft. New content ranges from changes to standard criteria from Draft 1 to Draft 2, new sections that were not in Draft 1, as well as new concept areas being developed that supplement the standard. UNIFIED STANDARD SYSTEM DRAFT 2 5 Updates from Draft 1 The following is an overall summary of what has changed for animal materials from the Responsible Down Standard (RDS) and the Responsible Animal Fibers (RAF) standards – comprising the Responsible Wool Standard (RWS), Responsible Mohair Standard (RMS), and Responsible Alpaca Standard (RAS)"
1. Organizational Management 1.2. Shared Responsibilities 1.2.2,0.1704451249868638,"which is currently being updated from RAF to include other raw materials in the standard scope. The Farm Questionnaire is also being re-assessed for the questions/data requested in terms of relevance and detail to the Climate+ direction in the new standard system. For Draft 2, a criterion is included requiring that the Farm Questionnaire be completed by the organization as part of the audit process. Standard criteria that relate to verification of information collected in the farm questionnaire are tagged as “MEL Indicator.” Additional criteria that include a measurement component and can be UNIFIED STANDARD SYSTEM DRAFT 2 11 used","a tool that incentivizes practices on the ground that drive outcomes in a desired direction. Alternatively, adding to the proliferation of standards, audits, and certificates in the marketplace is counter to driving impacts. We are looking at a wide range of raw materials as well as impact areas (e.g., human rights & livelihoods) to recognize verification systems, meaning the recognition framework will include different models. The recognition model will depend on the material and the peer organization as an effort to be adaptable to meet different needs based on areas of alignment and opportunities for growth. Cashmere is a candidate"
1. Organizational Management 1.2. Shared Responsibilities 1.2.3,0.27570693488261305,"Standard – RAS, Responsible Down Standard – RDS). During 2025, new certification applicants will have the option to request their audit to the unified standard, or to the applicable stand-alone standard, however we would encourage certification to the unified standard, given they will have to transition the following year. In 2026, the standard will be mandatory for both already certified sites as well as for new applicants, meaning all sites will need to be certified to the unified standard system. Existing previous standards superseded by the unified standard will be retired. UNIFIED STANDARD SYSTEM DRAFT 2 3 Overview of the","request certification to the unified standard, but this will still be optional as this year is transitional for sites already certified to any of the previous standards (i.e., Global Recycled Standard – GRS, Recycled Claim Standard – RCS, Responsible Wool Standard – RWS, Responsible Mohair Standard – RMS, Responsible Alpaca Standard – RAS, Responsible Down Standard – RDS). During 2025, new certification applicants will have the option to request their audit to the unified standard, or to the applicable stand-alone standard, however we would encourage certification to the unified standard, given they will have to transition the following year. In"
1. Organizational Management 1.2. Shared Responsibilities 1.2.4,0.1356717920734427,worker remains. • Handling and transport managed by the certified organization - An exemption for the requirement to provide feed and water after 24 hours of transport (for species/types of animals permitted to be transported for this long) if the entire journey could be completed within 30 hours was removed in Draft 2. - The recommendation from the RDS that vehicles transporting animals should be clearly labeled as such on the outside of the transport vehicle in the local language has been incorporated as a recommendation for all species in Draft 2. • Euthanasia and on-farm slaughter - A list,in Draft 2. - The recommendation from the RDS that vehicles transporting animals should be clearly labeled as such on the outside of the transport vehicle in the local language has been incorporated as a recommendation for all species in Draft 2. • Euthanasia and on-farm slaughter - A list of acceptable methods for stunning animals for euthanasia has been added. RAF includes a list of methods for on-farm slaughter but not euthanasia. - The signs that must be observed to confirm death have been updated. • Slaughterhouse - Slaughterhouse requirements are mandatory for sites involved in producing skins from
1. Organizational Management 1.2. Shared Responsibilities 1.2.5,0.17519222319231023,"– to Draft 1 of the unified standard and the new Draft 2. Yak The criteria for yak that were introduced in Draft 1 have been removed from the scope of Draft 2. Work had been carried out researching relevant welfare and land use topics for yak, and there were reviewers both in favor and against including yak within scope. However, it has been decided that it is more important to focus on priority materials at this time. Performance determination A key addition for Draft 2 is the introduction of performance determination for each criterion to better inform the intent","of the Content Claim Standard 6.2. Material Handling 6.3. Volume Reconciliation 6.4. Sale of Certified Materials 6.5. Logo Use and Claims 7. Group Certification 7.1. Group Management 7.2. Internal Control System 7.3. Group Member Requirements 7.4. Inspection of Members 7.5. Adding and Removing Members *Section 1-5: Included in First Draft The following information provides details on content that is new since the first draft. New content ranges from changes to standard criteria from Draft 1 to Draft 2, new sections that were not in Draft 1, as well as new concept areas being developed that supplement the standard. UNIFIED STANDARD"
1. Organizational Management 1.2. Shared Responsibilities 1.2.6,0.10739521510270782,"– this aligns with an animal fiber criterion. • Handling and transport managed by the organization - The criterion that requires birds to be given feed and water if the loading, transport and unloading time exceeds eight hours has been revised to limit transport to four hours, counting from the time the truck leaves the certified site until birds are unloaded. Performance determination notes that this is not applicable to the transport of newly hatched ducklings and goslings. • Euthanasia and on-farm slaughter - In response to reviewer feedback on the use of cervical dislocation, new criteria around the maximum","– to Draft 1 of the unified standard and the new Draft 2. Yak The criteria for yak that were introduced in Draft 1 have been removed from the scope of Draft 2. Work had been carried out researching relevant welfare and land use topics for yak, and there were reviewers both in favor and against including yak within scope. However, it has been decided that it is more important to focus on priority materials at this time. Performance determination A key addition for Draft 2 is the introduction of performance determination for each criterion to better inform the intent"
"2. Human Rights and Livelihoods 2.1. Policies, Management Systems and Records 2.1.1",0.2729355239927373,"raised to critical. Performance determination in the Human Rights section includes the applicability of criteria related to the size of the organization. Proposed definitions for small, medium, and large organizations are included with the standard content for review and feedback. Facility Section This paper focuses on the major changes that were made from Draft 1 moving towards Draft 2. The other criteria not summarized below and related to chemical management, waste management, water use and discharge, air emissions, and energy use of this section remain unchanged and are applicable to animal materials at the facility level. Chemical management and restrictions","some adjustments to the performance determination requirements to allow smaller organizations more informality within their systems and approach. Adjustments were also made to some levels of conformity, including where some of the most serious labor rights harms are identified without remediation plans in place, the level of conformity can be raised to critical. Performance determination in the Human Rights section includes the applicability of criteria related to the size of the organization. Proposed definitions for small, medium, and large organizations are included with the standard content for review and feedback. Facility Section This paper focuses on the major changes that"
"2. Human Rights and Livelihoods 2.1. Policies, Management Systems and Records 2.1.2",0.2257274763890668,"raised to critical. Performance determination in the Human Rights section includes the applicability of criteria related to the size of the organization. Proposed definitions for small, medium, and large organizations are included with the standard content for review and feedback. Facility Section This paper focuses on the major changes that were made from Draft 1 moving towards Draft 2. The other criteria not summarized below and related to chemical management, waste management, water use and discharge, air emissions, and energy use of this section remain unchanged and are applicable to animal materials at the facility level. Chemical management and restrictions","some adjustments to the performance determination requirements to allow smaller organizations more informality within their systems and approach. Adjustments were also made to some levels of conformity, including where some of the most serious labor rights harms are identified without remediation plans in place, the level of conformity can be raised to critical. Performance determination in the Human Rights section includes the applicability of criteria related to the size of the organization. Proposed definitions for small, medium, and large organizations are included with the standard content for review and feedback. Facility Section This paper focuses on the major changes that"
"2. Human Rights and Livelihoods 2.1. Policies, Management Systems and Records 2.1.3",0.2546597580544903,"some adjustments to the performance determination requirements to allow smaller organizations more informality within their systems and approach. Adjustments were also made to some levels of conformity, including where some of the most serious labor rights harms are identified without remediation plans in place, the level of conformity can be raised to critical. Performance determination in the Human Rights section includes the applicability of criteria related to the size of the organization. Proposed definitions for small, medium, and large organizations are included with the standard content for review and feedback. Facility Section This paper focuses on the major changes that","raised to critical. Performance determination in the Human Rights section includes the applicability of criteria related to the size of the organization. Proposed definitions for small, medium, and large organizations are included with the standard content for review and feedback. Facility Section This paper focuses on the major changes that were made from Draft 1 moving towards Draft 2. The other criteria not summarized below and related to chemical management, waste management, water use and discharge, air emissions, and energy use of this section remain unchanged and are applicable to animal materials at the facility level. Chemical management and restrictions"
"2. Human Rights and Livelihoods 2.1. Policies, Management Systems and Records 2.1.4",0.24402267596989427,"supply chain with our pre-existing chain of custody standard: the Content Claim Standard (CCS). While the CCS continues to provide the mechanism for tracking and handling of the certified inputs through to the finished product, the unified standard impact criteria are being developed for Tiers 4 and 3.5 of the supply chain. Timeline Similar to the process of moving from the first to the second drafts of the standard, stakeholders’ feedback from the second consultation will be considered in changes made as we move to approve a final version of the standard at the end of 2023. The final version","exploring where it is relevant and meaningful to incorporate Climate+ and other key impact areas, addressing how the material is managed on the ground as well as the first stage of production. This shift in scope represents our standard for raw material certification. Certified materials will be tracked through the supply chain with our pre-existing chain of custody standard: the Content Claim Standard (CCS). While the CCS continues to provide the mechanism for tracking and handling of the certified inputs through to the finished product, the unified standard impact criteria are being developed for Tiers 4 and 3.5 of the"
"2. Human Rights and Livelihoods 2.1. Policies, Management Systems and Records 2.1.5",0.2051676200927639,"supply chain. Timeline Similar to the process of moving from the first to the second drafts of the standard, stakeholders’ feedback from the second consultation will be considered in changes made as we move to approve a final version of the standard at the end of 2023. The final version is planned for publication in early 2024 to be used for pilot testing and implementation planning. Throughout the year 2024, we will conduct a full internal systems update to align with the new standard, as well as provide the necessary implementation planning for all stakeholders in the system (e.g., taking",opportunity to create a unified platform across standard users and brands to engage with. UNIFIED STANDARD SYSTEM DRAFT 2 12 The draft recognition framework will be available for review and circulated to stakeholders when the draft document is ready.
"2. Human Rights and Livelihoods 2.1. Policies, Management Systems and Records 2.1.6",0.23407186316437936,or sludge recovered should be managed with at least one of the options described in the criterion to recover value. Note that this criterion is linked to the new testing criteria as mentioned in the chemical management and restrictions sub-section and that the ZDHC Wool guidelines that focus on effluent discharge from wool scouring are scheduled to be released by August 2024. Group Certification Group Certification requirements are the same as they are for RAF and are summarized below. Group Certification is a mechanism under which groups of farmers can be managed and audited as a collective. Each group is,"raised to critical. Performance determination in the Human Rights section includes the applicability of criteria related to the size of the organization. Proposed definitions for small, medium, and large organizations are included with the standard content for review and feedback. Facility Section This paper focuses on the major changes that were made from Draft 1 moving towards Draft 2. The other criteria not summarized below and related to chemical management, waste management, water use and discharge, air emissions, and energy use of this section remain unchanged and are applicable to animal materials at the facility level. Chemical management and restrictions"
"2. Human Rights and Livelihoods 2.1. Policies, Management Systems and Records 2.1.7",0.22868145816119617,"the requirement for the management of the risk of facial eczema only applies where the risk is applicable was added. • Water management - No additional amendments in Draft 2. • Biodiversity management - From the review of the first draft of the standard, it became evident that more clarity is needed on how and when the criterion permitting the use of a baiting program applies. It is for this reason that this criterion has been expanded to include sub-criteria (rather than the originally proposed list), each with its own performance determinations, to reiterate that this intervention only applies to","raised to critical. Performance determination in the Human Rights section includes the applicability of criteria related to the size of the organization. Proposed definitions for small, medium, and large organizations are included with the standard content for review and feedback. Facility Section This paper focuses on the major changes that were made from Draft 1 moving towards Draft 2. The other criteria not summarized below and related to chemical management, waste management, water use and discharge, air emissions, and energy use of this section remain unchanged and are applicable to animal materials at the facility level. Chemical management and restrictions"
"2. Human Rights and Livelihoods 2.1. Policies, Management Systems and Records 2.1.8",0.1959963131986199,worker remains. • Handling and transport managed by the certified organization - An exemption for the requirement to provide feed and water after 24 hours of transport (for species/types of animals permitted to be transported for this long) if the entire journey could be completed within 30 hours was removed in Draft 2. - The recommendation from the RDS that vehicles transporting animals should be clearly labeled as such on the outside of the transport vehicle in the local language has been incorporated as a recommendation for all species in Draft 2. • Euthanasia and on-farm slaughter - A list,"age for lambs and kids reared by their mothers was increased from Draft 1 to Draft 2. • Handling and transport - Some amendments were made to the requirements around the use of working dogs for Draft 2, but the principle that working dogs are under the control of the worker remains. • Handling and transport managed by the certified organization - An exemption for the requirement to provide feed and water after 24 hours of transport (for species/types of animals permitted to be transported for this long) if the entire journey could be completed within 30 hours was removed"
"2. Human Rights and Livelihoods 2.1. Policies, Management Systems and Records 2.1.9",0.13014886997934724,"the requirement for the management of the risk of facial eczema only applies where the risk is applicable was added. • Water management - No additional amendments in Draft 2. • Biodiversity management - From the review of the first draft of the standard, it became evident that more clarity is needed on how and when the criterion permitting the use of a baiting program applies. It is for this reason that this criterion has been expanded to include sub-criteria (rather than the originally proposed list), each with its own performance determinations, to reiterate that this intervention only applies to","age for lambs and kids reared by their mothers was increased from Draft 1 to Draft 2. • Handling and transport - Some amendments were made to the requirements around the use of working dogs for Draft 2, but the principle that working dogs are under the control of the worker remains. • Handling and transport managed by the certified organization - An exemption for the requirement to provide feed and water after 24 hours of transport (for species/types of animals permitted to be transported for this long) if the entire journey could be completed within 30 hours was removed"
"2. Human Rights and Livelihoods 2.1. Policies, Management Systems and Records 2.1.10",0.22515052336296243,"the requirement for the management of the risk of facial eczema only applies where the risk is applicable was added. • Water management - No additional amendments in Draft 2. • Biodiversity management - From the review of the first draft of the standard, it became evident that more clarity is needed on how and when the criterion permitting the use of a baiting program applies. It is for this reason that this criterion has been expanded to include sub-criteria (rather than the originally proposed list), each with its own performance determinations, to reiterate that this intervention only applies to","raised to critical. Performance determination in the Human Rights section includes the applicability of criteria related to the size of the organization. Proposed definitions for small, medium, and large organizations are included with the standard content for review and feedback. Facility Section This paper focuses on the major changes that were made from Draft 1 moving towards Draft 2. The other criteria not summarized below and related to chemical management, waste management, water use and discharge, air emissions, and energy use of this section remain unchanged and are applicable to animal materials at the facility level. Chemical management and restrictions"
"2. Human Rights and Livelihoods 2.1. Policies, Management Systems and Records 2.1.11",0.14686687836001971,"the requirement for the management of the risk of facial eczema only applies where the risk is applicable was added. • Water management - No additional amendments in Draft 2. • Biodiversity management - From the review of the first draft of the standard, it became evident that more clarity is needed on how and when the criterion permitting the use of a baiting program applies. It is for this reason that this criterion has been expanded to include sub-criteria (rather than the originally proposed list), each with its own performance determinations, to reiterate that this intervention only applies to","in order to preserve eligibility for markets that prohibit certain products (for example some meat programs prohibit the use of antibiotics). • Nutrition - Alignment was made with RDS to prohibit the use of growth promoters, as a new minor conformance level criterion. • Living environment - A recommendation that animals have access to natural light became a minor conformance-related criterion in Draft 2. - Alignment was made with RDS that, where automated or mechanical systems for ventilation are needed to maintain air quality, an alarm system is present that alerts workers to the failure of these systems. This is"
2. Human Rights and Livelihoods 2.2. Labor Rights 2.2.1,0.22642240691029364,"the requirement for the management of the risk of facial eczema only applies where the risk is applicable was added. • Water management - No additional amendments in Draft 2. • Biodiversity management - From the review of the first draft of the standard, it became evident that more clarity is needed on how and when the criterion permitting the use of a baiting program applies. It is for this reason that this criterion has been expanded to include sub-criteria (rather than the originally proposed list), each with its own performance determinations, to reiterate that this intervention only applies to","raised to critical. Performance determination in the Human Rights section includes the applicability of criteria related to the size of the organization. Proposed definitions for small, medium, and large organizations are included with the standard content for review and feedback. Facility Section This paper focuses on the major changes that were made from Draft 1 moving towards Draft 2. The other criteria not summarized below and related to chemical management, waste management, water use and discharge, air emissions, and energy use of this section remain unchanged and are applicable to animal materials at the facility level. Chemical management and restrictions"
2. Human Rights and Livelihoods 2.2. Labor Rights 2.2.2,0.14942237612448694,"some adjustments to the performance determination requirements to allow smaller organizations more informality within their systems and approach. Adjustments were also made to some levels of conformity, including where some of the most serious labor rights harms are identified without remediation plans in place, the level of conformity can be raised to critical. Performance determination in the Human Rights section includes the applicability of criteria related to the size of the organization. Proposed definitions for small, medium, and large organizations are included with the standard content for review and feedback. Facility Section This paper focuses on the major changes that","opportunities for developing recognition partnerships. Recognition in the unified standard represents forming a partnership to collaborate on standard systems in an effort to combine forces, reduce redundancy, and work towards positive impacts faster, and together. A key reason for a partnership-first approach is to leverage sustainability standards and certification as a tool that incentivizes practices on the ground that drive outcomes in a desired direction. Alternatively, adding to the proliferation of standards, audits, and certificates in the marketplace is counter to driving impacts. We are looking at a wide range of raw materials as well as impact areas (e.g., human"
2. Human Rights and Livelihoods 2.2. Labor Rights 2.2.3,0.176769005103012,"some adjustments to the performance determination requirements to allow smaller organizations more informality within their systems and approach. Adjustments were also made to some levels of conformity, including where some of the most serious labor rights harms are identified without remediation plans in place, the level of conformity can be raised to critical. Performance determination in the Human Rights section includes the applicability of criteria related to the size of the organization. Proposed definitions for small, medium, and large organizations are included with the standard content for review and feedback. Facility Section This paper focuses on the major changes that","raised to critical. Performance determination in the Human Rights section includes the applicability of criteria related to the size of the organization. Proposed definitions for small, medium, and large organizations are included with the standard content for review and feedback. Facility Section This paper focuses on the major changes that were made from Draft 1 moving towards Draft 2. The other criteria not summarized below and related to chemical management, waste management, water use and discharge, air emissions, and energy use of this section remain unchanged and are applicable to animal materials at the facility level. Chemical management and restrictions"
2. Human Rights and Livelihoods 2.2. Labor Rights 2.2.4,0.1960014921881675,"some adjustments to the performance determination requirements to allow smaller organizations more informality within their systems and approach. Adjustments were also made to some levels of conformity, including where some of the most serious labor rights harms are identified without remediation plans in place, the level of conformity can be raised to critical. Performance determination in the Human Rights section includes the applicability of criteria related to the size of the organization. Proposed definitions for small, medium, and large organizations are included with the standard content for review and feedback. Facility Section This paper focuses on the major changes that","raised to critical. Performance determination in the Human Rights section includes the applicability of criteria related to the size of the organization. Proposed definitions for small, medium, and large organizations are included with the standard content for review and feedback. Facility Section This paper focuses on the major changes that were made from Draft 1 moving towards Draft 2. The other criteria not summarized below and related to chemical management, waste management, water use and discharge, air emissions, and energy use of this section remain unchanged and are applicable to animal materials at the facility level. Chemical management and restrictions"
